,Season,Team,wRC+
175,2020,BAL,101.94197510671519
176,2020,MIA,93.14770572554936
177,2020,PIT,71.61208970715913
178,2020,COL,75.83711777920072
179,2020,TEX,76.20415820859468
180,2021,HOU,114.68718690157777
181,2021,SFG,108.19583703513891
182,2021,TBR,108.7515153559129
183,2021,TOR,112.48049805612571
184,2021,LAD,105.26669291293899
185,2021,STL,95.22809257856153
186,2021,ATL,99.06803293287237
187,2021,OAK,102.49560999868231
188,2021,SDP,98.60298026107195
189,2021,WSN,102.00460273900988
190,2021,MIN,102.29889495028536
191,2021,CHW,107.74363612187211
192,2021,BOS,105.34026561444219
193,2021,NYM,94.47453038044232
194,2021,CLE,95.40001294838316
195,2021,CHC,93.68607888276908
196,2021,PHI,93.5572723094179
197,2021,NYY,102.73024101643941
198,2021,CIN,98.21922964899363
199,2021,MIL,91.98907729223069
200,2021,LAA,93.11723258845258
201,2021,TEX,83.02231668148555
202,2021,KCR,87.56314752349172
203,2021,DET,92.77382264862639
204,2021,SEA,93.18248287585881
205,2021,ARI,85.78852975316589
206,2021,COL,80.47884292817858
207,2021,MIA,79.54603683643735
208,2021,PIT,80.46529025535288
209,2021,BAL,90.58072344429523
210,2022,LAD,119.13644853158553
211,2022,NYY,113.97707802617317
212,2022,TOR,117.92815172644045
213,2022,STL,111.60946249586341
214,2022,NYM,113.47494939755123
215,2022,HOU,113.02522509987489
216,2022,ATL,111.83532295468123
217,2022,SEA,108.18624903483115
218,2022,MIL,103.53883439417015
219,2022,CLE,99.82942227217553
220,2022,PHI,106.5941493937309
221,2022,SDP,101.6823923912034
222,2022,MIN,105.66639714787142
223,2022,BAL,99.80624648004171
224,2022,ARI,92.55093257833848
225,2022,BOS,101.95975994486152
226,2022,TBR,100.02654314123262
227,2022,CHC,99.6454096940536
228,2022,TEX,97.77449381469944
229,2022,SFG,101.58012462290385
230,2022,CHW,98.40361726345795
231,2022,LAA,92.91482186738611
232,2022,COL,87.66703895993976
233,2022,KCR,91.11268820510456
234,2022,WSN,94.58900610096474
235,2022,MIA,83.17573648348522
236,2022,PIT,82.06792915839983
237,2022,OAK,82.35327144796341
238,2022,CIN,84.91452248277253
239,2022,DET,80.83889952474763
240,2023,ATL,125.77394153015378
241,2023,TEX,117.86146964263195
242,2023,TBR,117.10434999254566
243,2023,LAD,114.54854942921367
244,2023,SEA,108.92117000722112
245,2023,HOU,111.44873400024521
246,2023,SDP,105.64147868097389
247,2023,CHC,105.35736177315727
248,2023,TOR,106.10881741698067
249,2023,BAL,104.49206655951232
250,2023,MIN,106.59910239220669
251,2023,PHI,104.55412714600872
252,2023,ARI,96.75905946581386
253,2023,STL,103.42039801597741
254,2023,MIL,92.95400245964727
255,2023,NYM,99.60235827538634
256,2023,LAA,101.8331704264017
257,2023,CIN,98.04592525779466
258,2023,BOS,101.05843472557947
259,2023,NYY,93.24357989254355
260,2023,CLE,91.29951410076701
261,2023,SFG,91.59331763850969
262,2023,PIT,90.01286137606238
263,2023,KCR,87.8447380795263
264,2023,DET,88.53744420449082
265,2023,WSN,92.4681048205927
266,2023,MIA,93.213396203315
267,2023,OAK,87.82062221183307
268,2023,CHW,83.46337842280631
269,2023,COL,79.5181681391834
270,2024,NYY,117.99419949439923
271,2024,ARI,114.90195114689388
272,2024,LAD,116.8857098379475
273,2024,BAL,113.65957057352942
274,2024,MIL,104.57607713442052
275,2024,SDP,110.77902383559484
276,2024,PHI,106.81294216468484
277,2024,HOU,110.5695608624594
278,2024,NYM,108.02932578115126
279,2024,MIN,105.40436404323175
280,2024,TOR,100.87940618433502
281,2024,CLE,100.369796546316
282,2024,CHC,100.23495032838692
283,2024,SEA,104.06627236832773
284,2024,BOS,105.40384173039465
285,2024,KCR,97.1945130794816
286,2024,ATL,100.78510007165549
287,2024,DET,94.03197004936769
288,2024,TEX,96.7341298579394
289,2024,SFG,97.16748500393841
290,2024,STL,98.32645625876489
291,2024,TBR,94.8333314628609
292,2024,OAK,100.87308270007952
293,2024,CIN,88.8404933765959
294,2024,WSN,91.43177181866227
295,2024,MIA,87.06114835536216
296,2024,LAA,90.81096812372274
297,2024,PIT,86.02072022028042
298,2024,COL,81.68245001724151
299,2024,CHW,75.22117700548155
300,2025,NYY,118.67578183654066
301,2025,TOR,112.46814984627306
302,2025,CHC,109.85381593613187
303,2025,NYM,112.41566121263315
304,2025,LAD,112.98281947909368
305,2025,MIL,106.82967255827472
306,2025,ARI,108.71983715505877
307,2025,PHI,109.13807346660131
308,2025,SEA,112.55221740238771
309,2025,BOS,102.89318213184275
310,2025,DET,102.6197904990941
311,2025,ATH,104.87058856673865
312,2025,HOU,99.79648608939263
313,2025,SDP,102.32762056878914
314,2025,ATL,100.71450426304693
315,2025,STL,96.06330286419016
316,2025,SFG,97.1119629771621
317,2025,MIA,95.76427928549236
318,2025,TBR,98.15061621519418
319,2025,MIN,96.92547046063355
320,2025,TEX,91.87498861113546
321,2025,KCR,92.99203955636166
322,2025,BAL,95.96873382771855
323,2025,CLE,87.05235275059458
324,2025,CIN,92.11692542720635
325,2025,WSN,92.80983073703567
326,2025,LAA,91.59862737327477
327,2025,PIT,82.20079808173
328,2025,CHW,88.47575053266169
329,2025,COL,74.43299592362877
